neighbourhood,total_listings,avg_price,for_sale,for_rent,detached_duplexes,apartments,min_price,max_price,,Price band,Listings
Asokoro,15,1314333333,11,4,8,1,1.00E+07,5.00E+09,,Luxury,24
Wuse,30,672233333,15,15,8,12,4.00E+06,3.00E+09,,Premium,131
Utako,28,573510714,12,16,12,10,2.00E+06,4.50E+09,,Mid-market,87
Guzape,36,425861111,15,21,13,8,5.00E+06,3.00E+09,,Affordable,239
Maitama,23,261347826,5,18,8,6,6.00E+06,2.00E+09,,,
Life-Camp,18,238611111,18,0,2,4,6.00E+07,5.80E+08,,,
Karsana,22,234659091,17,5,8,3,7500000,6.70E+08,,,
Katampe,30,203283333,12,18,10,9,2500000,1.10E+09,,,
Jabi,24,201354167,12,12,2,10,4.00E+06,1.80E+09,,,
Gwarinpa,31,174919355,18,13,7,12,2500000,6.50E+08,,,
Galadimawa,37,116878378,19,18,12,14,2.00E+06,4.80E+08,,,
Apo,36,114097222,16,20,4,15,2.00E+06,5.80E+08,,,
Lokogoma,37,110445946,20,17,10,12,800000,4.75E+08,,,
Dawaki,37,84935135,18,19,4,24,1100000,4.00E+08,,,
Kubwa,31,54332258,14,17,1,17,2.00E+06,3.00E+08,,,
